"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"1155","sim_parBatHGherringGrid359","a1M1.64_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.687,0.349,0.233,NA,0,NA,8,1,7.3,106.7,88.2,0,0,0,0.059,0.288,0.037,0.022,0.019,4.842,2.382,0.479,1.902,0.383,2.392,0.49
"1156","sim_parBatHGherringGrid359","a1M1.64_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.36,0.062,0.027,0,0,NA,14,7,50.8,740.8,56.7,0,0,0,0.001,0.056,0.093,0.073,0.051,63.29,11.768,0.186,10.398,0.164,20.703,0.329
"1157","sim_parBatHGherringGrid36","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.525,0.233,0.159,NA,0,NA,4.5,1,7.3,105.8,101.3,0,0,0,0.026,0.171,0.042,0.056,0.05,6.518,2.19,0.326,1.767,0.262,3.344,0.501
"1158","sim_parBatHGherringGrid36","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.442,0.145,0.085,NA,0.001,0.1,9,6.4,46.2,671.6,94.4,0,0,0,0.002,0.046,0.029,0.058,0.044,32.338,8.229,0.254,7.573,0.237,13.154,0.406
"1159","sim_parBatHGherringGrid36","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.552,0.251,0.155,NA,0,NA,4,1,7.3,106.2,102.1,0,0,0,0.016,0.153,0.048,0.048,0.052,3.738,1.191,0.314,0.939,0.247,1.902,0.503
"1160","sim_parBatHGherringGrid36","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.521,0.149,0.073,0,0,NA,12,5.4,38.9,566,83.9,0,0,0,0.001,0.036,0.043,0.052,0.039,42.593,11.611,0.271,10.279,0.241,18.4,0.431
"1161","sim_parBatHGherringGrid360","a1M1.64_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","C/S",1,100,0,1,0.348,0.121,0.069,NA,0,NA,0,0,0,0,0,0,0,0,0.027,0.156,0.16,0.126,0.081,8.518,1.452,0.163,1.202,0.133,2.927,0.338
"1162","sim_parBatHGherringGrid360","a1M1.64_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.327,0.077,0.041,NA,0,NA,0,0,0,0,0,0,0,0,0.004,0.081,0.092,0.085,0.061,49.929,7.932,0.16,7.294,0.146,15.63,0.315
"1163","sim_parBatHGherringGrid360","a1M1.64_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","Lou",1,100,0,1,0.69,0.35,0.237,NA,0,NA,0,0,0,0,0,0,0,0,0.059,0.291,0.037,0.023,0.019,4.842,2.382,0.479,1.902,0.383,2.405,0.492
"1164","sim_parBatHGherringGrid360","a1M1.64_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","aggregate",1,100,0,1,0.374,0.066,0.029,0,0,NA,0,0,0,0,0,0,0,0,0.001,0.058,0.096,0.074,0.052,63.29,11.766,0.186,10.398,0.164,20.962,0.333
