"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pBtGtB0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","B7585","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"408","sim_parBatHGHerringGrid_Nov3_190","a1M1.25_sr0.67_identM_rw15_hiPondM","NoFish","HG Herring","aggregate",1,100,0,1,0.373,0.095,0.049,0.005,0,0,NA,0,0,0,0,0,0,0,0,0.001,0.034,0.039,0.051,0.05,47.459,69.052,10.468,0.22,9.351,0.196,18.043,0.379
"409","sim_parBatHGHerringGrid_Nov3_191","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.116,0.021,0.01,0.001,NA,0.002,0.1,1,1,7.3,104.7,100.3,0,0,0,0.009,0.103,0.028,0.04,0.038,11.95,8.285,1.618,0.133,1.387,0.115,2.624,0.213
"410","sim_parBatHGHerringGrid_Nov3_191","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.052,0.003,0.001,0,NA,0.011,0.12,1,4.3,31.1,449.9,131.4,0,0,0,0,0.011,-0.007,0.028,0.03,63.005,56.902,6.935,0.111,6.644,0.107,10.805,0.172
"411","sim_parBatHGHerringGrid_Nov3_191","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.106,0.024,0.011,0,NA,0.012,0.11,1,1,7.3,105,100,0,0,0,0.004,0.071,0.047,0.04,0.058,6.775,5.08,0.867,0.125,0.735,0.105,1.466,0.216
"412","sim_parBatHGHerringGrid_Nov3_191","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.033,0.002,0,0,0,0.005,0.12,4,2.4,17.1,248.5,144.7,0,0,0,0,0.01,0.016,0.035,0.037,81.731,70.267,9.419,0.116,8.765,0.107,14.894,0.182
"413","sim_parBatHGHerringGrid_Nov3_192","a1M1.64_sr0.67_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.12,0.021,0.01,0.001,NA,0,NA,0,0,0,0,0,0,0,0,0.009,0.107,0.028,0.041,0.039,11.95,8.285,1.618,0.133,1.387,0.115,2.658,0.216
"414","sim_parBatHGHerringGrid_Nov3_192","a1M1.64_sr0.67_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.043,0.002,0.001,0,NA,0.036,0.22,0,0,0,0,0,1,516.8,109.4,0,0.011,-0.008,0.027,0.028,63.005,56.902,6.935,0.111,6.644,0.107,10.437,0.166
"415","sim_parBatHGHerringGrid_Nov3_192","a1M1.64_sr0.67_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.111,0.027,0.011,0,NA,0,NA,0,0,0,0,0,0,0,0,0.004,0.077,0.05,0.042,0.06,6.775,5.08,0.867,0.125,0.735,0.105,1.509,0.222
"416","sim_parBatHGHerringGrid_Nov3_192","a1M1.64_sr0.67_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.029,0.002,0,0,0.06,0.033,0.18,0,0,0,0,0,1,516.8,109.4,0,0.009,0.013,0.031,0.035,81.731,70.267,9.419,0.116,8.765,0.107,14.605,0.178
"417","sim_parBatHGHerringGrid_Nov3_193","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.116,0.021,0.01,0.001,NA,0.002,0.1,1,1,7.3,104.7,100.3,0,0,0,0.009,0.103,0.028,0.04,0.038,11.95,8.285,1.618,0.133,1.387,0.115,2.624,0.213
"418","sim_parBatHGHerringGrid_Nov3_193","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.044,0.002,0.001,0,NA,0.039,0.2,1,4.1,29.8,429.4,129.5,0,0,0,0,0.011,-0.008,0.027,0.028,63.005,56.902,6.935,0.111,6.644,0.107,10.455,0.167
"419","sim_parBatHGHerringGrid_Nov3_193","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.106,0.024,0.011,0,NA,0.012,0.11,1,1,7.3,105,100,0,0,0,0.004,0.071,0.047,0.04,0.058,6.775,5.08,0.867,0.125,0.735,0.105,1.466,0.216
"420","sim_parBatHGHerringGrid_Nov3_193","a1M1.64_sr0.67_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.029,0.002,0,0,0.03,0.034,0.19,4,2.3,17,248.5,146.1,0,0,0,0,0.009,0.013,0.031,0.035,81.731,70.267,9.419,0.116,8.765,0.107,14.545,0.178
"421","sim_parBatHGHerringGrid_Nov3_194","a1M1.64_sr0.67_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.118,0.021,0.01,0.001,NA,0.003,0.11,2,1,7.3,105.1,100.9,0,0,0,0.009,0.105,0.027,0.041,0.039,11.95,8.285,1.618,0.133,1.387,0.115,2.644,0.215
"422","sim_parBatHGHerringGrid_Nov3_194","a1M1.64_sr0.67_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.057,0.004,0.001,0,NA,0.035,0.13,2,6.4,46.1,669.3,141,0,0,0,0,0.012,-0.006,0.029,0.031,63.005,56.902,6.935,0.111,6.644,0.107,10.986,0.174
